screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Polite requests करना सीखने से आप respectfully चीज़ें माँग सकते हैं, जरूरत पड़ने पर मदद पा सकते हैं, और English में professionally बात कर सकते हैं।",https://sn-main.b-cdn.net/system-uploads/scenario-data/61f3f8e8-3a63-4c81-aa7c-b3f6352f3788-PR-1_720p.mp4,Polite Requests,,,Continue,,,,,,,,,
2,media,"चलिए lesson शुरू करते हैं। जब आप किसी से कुछ करने के लिए कहना चाहते हैं, तो सबसे आसान तरीका है ""Please"" के बाद action और object बोलना। जैसे — ""Please open the door."" आप कोई भी action use कर सकते हैं जैसे close, pass, turn off — बस इस pattern को follow करें: Please + action + the thing!",https://sn-main.b-cdn.net/system-uploads/scenario-data/78357470-2ba9-469c-9fa4-d29a57d598fd-PR_2.mp4,Please + action + the thing!,किसी को कुछ करने के लिए अच्छे से बोलना,,,,,,,,,,,
3,mcq,Window बंद करने के लिए politely पूछने का सही option कौन सा है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/e2521bae-7d7e-406e-a52e-14747b5c4b17-PR_3.mp4,Window बंद करने के लिए politely पूछने का सही option कौन सा है?,,,,,Close the window,Please close the window,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
4,translate,आप किसी से salt pass करने के लिए politely कैसे पूछेंगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/a7e21076-c480-4acf-a06c-c6c7d8f1a37c-PR_4.mp4,आप किसी से salt pass करने के लिए politely कैसे पूछेंगे?,इसे English में बोलिए,Please + action + the thing!,,Please pass the salt,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
5,translate,आप किसी से light on करने के लिए politely कैसे पूछेंगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/9575df78-93f3-4ccd-9011-7afd618b3586-PR_5.mp4,आप किसी से light on करने के लिए politely कैसे पूछेंगे?,इसे English में बोलिए,Please + action + the thing!,,Please turn on the light,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/dedd3a89-39da-4411-9bdc-2d83ce935c3a-CORRECT-2-FOV3-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
6,media,"जब आप और polite होना चाहते हैं, तो आप ""Can you"" के बाद action और object बोलते हैं, फिर अंत में ""please?"" लगाते हैं। जैसे — ""Can you open the door please?"" इस pattern का use करें: Can you + action + the thing + please?",https://sn-main.b-cdn.net/system-uploads/scenario-data/73d84e4c-a3b6-4b33-bca0-76453217e9fd-PR_6.mp4,Can you + action + the thing + please?,किसी को कुछ करने के लिए अच्छे से बोलना,,,,,,,,,,,
7,mcq,Light बंद करने के लिए politely पूछने का सही option कौन सा है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/75880ce6-2a17-4897-930d-67407cd0c72f-PR_7.mp4,Light बंद करने के लिए politely पूछने का सही option कौन सा है?,,,,,Can you turn off the light please?,You turn off the light,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/05508807-33dd-4d83-9a6b-99a785882422-CORRECT-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/a81a49d2-7477-4707-bcd0-9b6caef74455-WRONG-2-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
8,translate,आप किसी से window बंद करने के लिए politely कैसे पूछेंगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/2b10752e-f26d-4ec5-ac90-4967e703d852-PR_8.mp4,आप किसी से window बंद करने के लिए politely कैसे पूछेंगे?,इसे English में बोलिए,Can you + action + the thing + please?,,Can you close the window please,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/b4795db3-df7c-4e7b-908a-9851c026beb1-CORRECT-2-FOV3-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
9,translate,आप किसी से पानी pass करने के लिए politely कैसे पूछेंगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/5a57a183-28f4-4c23-907b-1b350164f885-PR_9.mp4,आप किसी से पानी pass करने के लिए politely कैसे पूछेंगे?,इसे English में बोलिए,Can you + action + the thing + please?,,Can you pass the water please,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
10,media,"जब आप बहुत polite या formal होना चाहते हैं, तो आप ""Would you mind"" के बाद action में -ing लगाकर बोलते हैं। जैसे — ""Would you mind opening the door?"" ध्यान दें action ""open"" से ""opening"" बन जाता है। इस pattern का use करें: Would you mind + action-ing + the thing?",https://sn-main.b-cdn.net/system-uploads/scenario-data/a10e1329-6905-4b39-84fe-ca871308e449-PR_10.mp4,Would you mind + action-ing + the thing?,किसी को कुछ करने के लिए अच्छे से बोलना,,,,,,,,,,,
11,mcq,Volume कम करने के लिए बहुत politely पूछने का सही option कौन सा है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5c3b796-ef15-4227-9a2b-52d04800b1e3-PR_11.mp4,Volume कम करने के लिए बहुत politely पूछने का सही option कौन सा है?,,,,,Lower the volume,Would you mind lowering the volume?,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
