screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"चलो अपना lesson शुरू करते हैं। जब आप किसी नए इंसान से मिलते हैं, तो सबसे पहले आप अपना नाम बताते हैं। आप बोलते हैं - ""My name is Nova."" बस Nova की जगह अपना नाम बोले!",https://sn-main.b-cdn.net/system-uploads/scenario-data/729a0c8b-920f-46f5-b79d-098412f1e1ea-FOV3_5.mp4,My name is ____,अपना नाम बताना,,Next,,,,,,,,,
2,mcq,"किसी को अपना नाम बताने के लिए, कौन सा option सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/167deb36-ad1e-43c6-8d4f-ce73c0c92471-FOV3_6.mp4,"किसी को अपना नाम बताने के लिए, कौन सा option सही है?",,,,,My name is Krishna,I am a Krishna,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
3,translate,आप किसी को अपना नाम कैसे बताओगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/c78f11a1-fa88-463d-9535-fdc1dcdd70e5-FOV3_7.mp4,अपना नाम बताओगे,इसे English में बोलिए,My name is ____,,My name is,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
4,media,"जब आप किसी को अपनी age बताना चाहते हैं, तो आप बोल सकते हैं 'I am 28 years old' लेकिन अपनी खुद की age use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/34654f31-83b6-44c2-b3dc-86c43d641f4d-FOV3_8.mp4,I am __ years old,अपनी age बताना,,Next,,,,,,,,,
5,mcq,"किसी को अपनी age बताने के लिए, कौन सा option सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/2074a3a9-c8e7-43df-8564-40fb478ddacb-FOV3_9.mp4,"किसी को अपनी age बताने के लिए, कौन सा option सही है?",,,,,I am 25 years old,I having 25 years age,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/dedd3a89-39da-4411-9bdc-2d83ce935c3a-CORRECT-2-FOV3-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
6,translate,आप किसी को अपनी age कैसे बताओगे?,https://sn-main.b-cdn.net/system-uploads/scenario-data/2ba88a8a-be7c-4cb7-a570-dfc4e74613dd-FOV3_10.mp4,अपनी age बताओगे,इसे English में बोलिए,I am __ years old,,I am years old,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/05508807-33dd-4d83-9a6b-99a785882422-CORRECT-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/a81a49d2-7477-4707-bcd0-9b6caef74455-WRONG-2-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
7,media,"जब आप किसी को बताना चाहते हैं कि आप कहाँ से हैं, तो आप बोल सकते हैं 'I am from Chennai' लेकिन अपनी city use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/edadd3cf-5927-4fd9-a3a5-91a8a5e77721-FOV3_11.mp4,I am from ____,बताना कि आप कहाँ से हो,,Next,,,,,,,,,
8,mcq,"किसी को यह बताने के लिए, कि आप कहाँ से हो, कौन सा option सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/9301cc46-2376-4682-bd69-313f51c004f0-FOV3_12.mp4,"किसी को यह बताने के लिए, कि आप कहाँ से हो, कौन सा option सही है?",,,,,I am from London,I coming from London,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/b4795db3-df7c-4e7b-908a-9851c026beb1-CORRECT-2-FOV3-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
9,translate,आप किसी को कैसे बताओगे कि आप कहाँ से हो?,https://sn-main.b-cdn.net/system-uploads/scenario-data/50773976-a6c6-40df-9908-86af83b171d1-FOV3_13.mp4,आप कहाँ से हो?,इसे English में बोलिए,I am from ____,,I am from,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
10,media,"जब आप किसी को बताना चाहते हैं कि आप क्या काम करते हैं तो आप बोल सकते हैं, 'I am a teacher' लेकिन अपनी खुद की job role use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/9519b8ff-6882-4580-87df-5a051ee12b75-FOV3_14.mp4,I am a ____,यह बताना कि आप क्या काम करते हो,,Next,,,,,,,,,
11,mcq,किसी को अपनी job role बताने के लिए कौन सा option सही है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/f7fd8ad7-2189-4808-ac61-63f21f7aa00d-FOV3_15.mp4,किसी को अपनी job role बताने के लिए कौन सा option सही है?,,,,,I am a designer,I do the design,a,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4
