screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप सीखेंगे कि English में अपने पास की चीज़ों के बारे में कैसे बात करें।",https://sn-main.b-cdn.net/system-uploads/scenario-data/0fea382d-a24e-4cc9-af06-bb7daab24290-NEAR_1.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? यह मेरा phone है।",https://sn-main.b-cdn.net/system-uploads/scenario-data/d5df92f7-296e-43a9-b1cc-cfb5fc1df697-NEAR_2.mp4,यह मेरा phone है।,इसे English में बोलिए,,,This is my phone,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
3,media,"वो sentence है 'This is my phone' English में। आप 'This is my' का use उन चीज़ों के पहले करते हैं जो आपकी हैं और आपके पास हैं, जैसे phone, bag, या laptop। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/ffc3ce3a-60e7-45f1-845c-83b15751f536-NEAR_3.mp4,This is my.....,यह बोलना कि आपके पास की चीज़ आपकी है,,,,,,,TRUE,,,,
4,mcq,अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/c63b4197-ccb8-44bf-8488-b6e0f4682377-NEAR_4.mp4,अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,,,,,This my laptop,This is my laptop,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: यह मेरा bag है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/ac611027-4b35-4230-8ee1-eb17a6a91ae2-NEAR_5.mp4,यह मेरा bag है।,इसे English में बोलिए,This is my.....,,This is my bag,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
6,translate,इसे English में बोलिए: यह मेरा wallet है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/0fdc6bbb-ad8a-4f5e-8b83-438efff294af-NEAR_6.mp4,यह मेरा wallet है।,इसे English में बोलिए,This is my.....,,This is my wallet,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
7,translate,यह मेरी watch है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/78fff5aa-599c-4413-8daf-3aaa5f3a0e8b-NEAR_7.mp4,यह मेरी watch है।,इसे English में बोलिए,This is my.....,,This is my watch,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
8,translate,यह मेरी notebook है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/bfb94368-f4e2-4c5f-85cb-a66e5823a292-NEAR_8.mp4,यह मेरी notebook है।,इसे English में बोलिए,This is my.....,,This is my notebook,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
9,translate,आख़िरी सवाल! यह मेरा office है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/a8585a09-bfcd-45b4-9082-7caec5c6e442-NEAR_9.mp4,यह मेरा office है।,इसे English में बोलिए,This is my.....,,This is my office,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
10,media,"बहुत बढ़िया! अब real situations में practice करते हैं। आप अपने पास की चीज़ों को describe करेंगे और उनके बारे में बताने के लिए 'This is my' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/a05a7251-2c39-4bac-b38c-ccaa2e4d5cd9-NEAR_10.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
