screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Today, you'll learn how to talk about things that are far from you in English.","आज, आप सीखेंगे कि English में दूर की चीज़ों के बारे में कैसे बात करें।",FAR 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/83eabf91-922b-473d-806a-4344478c2cd7-FAR_7.mp4,TRUE,,,,,,,,,,,,,
,translate,"But first, can you say this in English? That is my car.","लेकिन पहले, क्या आप इसे English में बोल सकते हैं? वह मेरी car है।",FAR 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/216615e2-5f16-4f86-befa-73f84517949d-FAR_8.mp4,,वह मेरी car है।,इसे English में बोलिए,,,,,,,,,,,
,translate,"That sentence is 'That is my car' in English. You use 'That is my' before things that belong to you but are far away from you, like your car in the parking lot or your house across the street. Simple! Let's practice using this!","वो sentence है 'That is my car' English में। आप 'That is my' का use उन चीज़ों के पहले करते हैं जो आपकी हैं लेकिन आपसे दूर हैं, जैसे parking में आपकी car या सड़क के उस पार आपका house। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",FAR 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/f69f7d32-f8e5-49da-9627-5339d3dba8c6-FAR_9.mp4,,That is my.....,यह बोलना कि दूर की चीज़ आपकी है,,,,,,,TRUE,,,,
2,mcq,"Which sentence is correct to point to something far away that belongs to you?
A) That my car
B) That is my car",दूर की अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,FAR 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/34e29764-f9b9-47b2-936d-077d3c8bad9b-FAR_10.mp4,FALSE,दूर की अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,,,,b,That my car,That is my car,,,,,,
3,translate,Let's keep going. Say this in English: That is my house.,चलिए आगे बढ़ते हैं। इसे English में बोलिए: वह मेरा house है।,FAR 11,https://sn-main.b-cdn.net/system-uploads/scenario-data/4869c050-4da5-4220-88c8-7112d5b7d4d8-FAR_11.mp4,FALSE,वह मेरा house है।,इसे English में बोलिए,That is my.....,,,,,,TRUE,,,,
4,translate,Say this in English: That is my bike.,इसे English में बोलिए: वह मेरी bike है।,FAR 12,https://sn-main.b-cdn.net/system-uploads/scenario-data/13a34c15-b8be-4bd3-9315-db2eb0503cbd-FAR_12.mp4,FALSE,वह मेरी bike है।,इसे English में बोलिए,That is my.....,,,,,,TRUE,,,,
5,translate,That is my office building.,वह मेरी office building है।,FAR 13,https://sn-main.b-cdn.net/system-uploads/scenario-data/03f7935a-8387-4786-952b-c238e6697fbb-FAR_13.mp4,FALSE,वह मेरी office building है।,इसे English में बोलिए,That is my.....,,,,,,,,,,
6,translate,That is my car.,वह मेरी car है।,FAR 14,https://sn-main.b-cdn.net/system-uploads/scenario-data/51e0e732-7e77-42aa-90ee-23ecf010775a-FAR_14.mp4,FALSE,वह मेरी car है।,इसे English में बोलिए,That is my.....,,,,,,,,,,
7,translate,Last question! That is my apartment.,आख़िरी सवाल! वह मेरा apartment है।,FAR 15,https://sn-main.b-cdn.net/system-uploads/scenario-data/565bdf8c-11b4-42da-829e-b7b0cb6581fb-FAR_15.mp4,FALSE, वह मेरा apartment है।,इसे English में बोलिए,That is my.....,,,,,,,,,,
9,media,That was amazing! Now let's practice in real situations. You'll point to things far from you. Use 'That is my' to talk about what's at a distance!,बहुत बढ़िया! अब real situations में practice करते हैं। आप दूर की चीज़ों की ओर point करेंगे और उनके बारे में बताने के लिए 'That is my' का use करें!,FAR 16,https://sn-main.b-cdn.net/system-uploads/scenario-data/0c49c567-fc34-45bd-ae06-bdebd835cf65-FAR_16.mp4,FALSE,,,,,,,,,,,,,
kitchen,conversation,"Hey! Let's play another game. I'll point to things far from me, and you point to things far from you. Ready?","Hey! Let's play a game. I'll point to things far from me, and you point to things far from you. Ready?",FAR 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/bac0bbde-b416-4d54-9091-c70f00e2e8ad-FAR_1.mp4,FALSE,,"Hey! चलिए एक और game खेलते हैं। मैं दूर की चीज़ों की ओर इशारा करूंगी, और आप भी दूर की चीज़ों की ओर इशारा करेंगे। Ready?",,,,,,,,,,,
kitchen,conversation,"Okay, I'm looking over there... that is my car in the parking lot. Now you - look far away, what do you see?","Okay, that is my car in the parking lot. Now you - look far away, what do you see?",FAR 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/6285e695-a9f6-4eb2-9990-b76cff8d4fc4-FAR_2.mp4,FALSE,,"ठीक है, मैं वहाँ देख रही हूँ... वह parking में मेरी car है। अब आपकी बारी — दूर देखिए, आपको क्या दिख रहा है?",,,,,,,,,,,
