course_key,section_title,section_description,section_subtext,section_track_type,activity_type,activity_title,activity_cta,scenario_id,activity_track_type,activity_subtext
a1,Talking About Past Activities,Learn to talk about past actions,Learn to talk about past actions,main,speak,Translate: Talking About Past Activities,Start Activity,f23e50d8-fed6-4533-b4c2-ac086a780625,experiment,Check your understanding of how to talk about past activities.
a1,Talking About Past Activities,Learn to talk about past actions,Learn to talk about past actions,main,play,Translate: Talking About Past Activities!,Start Activity,32f2f968-db20-4bed-b68d-6e6600ac1e42,experiment,Check your understanding of how to talk about past activities!
a1,Describing Daily Routines,Simple Present Tense,Learn to describe daily actions,main,speak,Translate: Describing Daily Routines,Start Activity,43e65b62-eefc-4064-a513-603dfd3bd789,experiment,Check your understanding of how to describe daily routines.
a1,Describing Daily Routines,Simple Present Tense,Learn to describe daily actions,main,play,Translate: Describing Daily Routines!,Start Activity,39017b50-32a4-4af3-817a-a112221f0410,experiment,Check your understanding of how to describe daily routines!
a1,Shopping Basics,Shopping Basics,Shopping Basics,main,speak,Translate: Shopping Basics,Start Activity,b5a79c66-3b81-4dcd-ad7a-2fb2d0042bfe,experiment,Check your understanding of how to ask basic shopping questions.
a1,Shopping Basics,Shopping Basics,Shopping Basics,main,play,Translate: Shopping Basics!,Start Activity,6fd0435c-f437-49cc-aa96-177a6b4926a7,experiment,Check your understanding of how to ask basic shopping questions!
a1,Talk About What's Happening Now,Present continuous Tense,Learn to talk about present actions,main,speak,Translate: Talk About What's Happening Now,Start Activity,1ddb9e35-23b3-4ab0-bd15-044a078322ae,experiment,Check your understanding of how to talk about what is happening now.
a1,Talk About What's Happening Now,Present continuous Tense,Learn to talk about present actions,main,play,Translate: Talk About What's Happening Now!,Start Activity,8c5dee77-3c43-4a1e-befb-9e6d1194de4c,experiment,Check your understanding of how to talk about what is happening now!
a1,Basic Connecting Words,Learn words that will help you connect your sentences,Learn words that will help you connect your sentences,main,speak,Translate: Basic Connecting Words,Start Activity,5a37983d-9b93-4226-9236-0fe335c6dd04,experiment,Check your understanding of how to use basic connecting words.
a1,Basic Connecting Words,Learn words that will help you connect your sentences,Learn words that will help you connect your sentences,main,play,Translate: Basic Connecting Words!,Start Activity,0b5e9e9b-5179-4dd2-a6e6-fbcc9ea3b1d9,experiment,Check your understanding of how to use basic connecting words!
a1,Making Future Plans,Simple Future Tense,Learn to make future plans,main,speak,Translate: Making Future Plans,Start Activity,c3435ffd-a737-4c52-8a38-0cfead484d7b,experiment,Check your understanding of how to make future plans.
a1,Making Future Plans,Simple Future Tense,Learn to make future plans,main,play,Translate: Making Future Plans!,Start Activity,2b0f176d-adc1-41c1-abe2-cab229166c72,experiment,Check your understanding of how to make future plans!
a1,Describing Future Activities,Future continuous Tense,Learn to describe future actions,main,speak,Translate: Describing Future Activities,Start Activity,56b93c86-001b-4d3d-9c0e-5fd50f40f799,experiment,Check your understanding of how to describe future activities.
a1,Describing Future Activities,Future continuous Tense,Learn to describe future actions,main,play,Translate: Describing Future Activities!,Start Activity,4c44760e-3c72-4648-8276-99b603232996,experiment,Check your understanding of how to describe future activities!
a1,"Articles: A, An, The","Articles: A, An, The",Learn the usage of articles,main,speak,"Translate: Articles: A, An, The",Start Activity,41539359-77c9-40c9-a7ae-35498645cb46,experiment,"Check your understanding of how to use articles: a, an, and the."
a1,"Articles: A, An, The","Articles: A, An, The",Learn the usage of articles,main,play,"Translate: Articles: A, An, The!",Start Activity,b00b2504-424b-409a-9c0b-9198c5efdeb1,experiment,"Check your understanding of how to use articles: a, an, and the!"
a1,Making Polite Requests,Making Polite Requests,Making Polite Requests,main,speak,Translate: Making Polite Requests,Start Activity,4befb66a-dddd-4854-b490-1d45f9f72cd5,experiment,Check your understanding of how to make polite requests.
a1,Making Polite Requests,Making Polite Requests,Making Polite Requests,main,play,Translate: Making Polite Requests!,Start Activity,be90dc1e-b364-4edf-92ed-396f78880af6,experiment,Check your understanding of how to make polite requests!
a1,Learn to describe places and things,Learn to describe places and things,Learn to describe places and things,main,speak,Translate: Learn to describe places and things,Start Activity,e8bbaba6-f663-464a-a3a9-9bbb293dcf1b,experiment,Check your understanding of how to describe places and things.
a1,Learn to describe places and things,Learn to describe places and things,Learn to describe places and things,main,play,Translate: Learn to describe places and things!,Start Activity,2ae1c97b-1dc2-45eb-9ec5-123c23177da8,experiment,Check your understanding of how to describe places and things!
a1,Describe Where things Are,Learn to Describe Where things Are,Describe Where things Are,main,speak,Translate: Describe Where things Are,Start Activity,d70a9961-f0fc-4a04-adca-c5b75eb3ad8b,experiment,Check your understanding of how to describe where things are.
a1,Describe Where things Are,Learn to Describe Where things Are,Describe Where things Are,main,play,Translate: Describe Where things Are!,Start Activity,e8b268f5-1db1-4c44-bb1b-f0ba67696ef0,experiment,Check your understanding of how to describe where things are!
a1,Learn How to Ask Questions,Learn how to ask basic questions!,Learn how to ask basic questions!,main,speak,Translate: Learn How to Ask Questions,Start Activity,4196312a-2b01-42d6-8c8f-3d3ce305363d,experiment,Check your understanding of how to ask questions.
a1,Learn How to Ask Questions,Learn how to ask basic questions!,Learn how to ask basic questions!,main,play,Translate: Learn How to Ask Questions!,Start Activity,bfaad87d-f0c8-45d2-aae1-db638f0f1863,experiment,Check your understanding of how to ask questions!
a1,Express your Feelings,Learn how to talk about how you feel!,Learn how to talk about how you feel!,main,speak,Translate: Express your Feelings,Start Activity,d6a99e42-eabe-4251-9edd-7982357a9874,experiment,Check your understanding of how to express your feelings.
a1,Express your Feelings,Learn how to talk about how you feel!,Learn how to talk about how you feel!,main,play,Translate: Express your Feelings!,Start Activity,bc1bb920-74b0-42bc-a911-82a5eb060c7e,experiment,Check your understanding of how to express your feelings!
a1,Asking for and Giving Advice,Learn how to give advice and ask for it,Learn how to give advice and ask for it,main,speak,Translate: Asking for and Giving Advice,Start Activity,f5a457ac-f751-4b95-ba0d-4784824a418b,experiment,Check your understanding of how to ask for and give advice.
a1,Asking for and Giving Advice,Learn how to give advice and ask for it,Learn how to give advice and ask for it,main,play,Translate: Asking for and Giving Advice!,Start Activity,1ebf1b69-712c-4b16-9983-89e60f55407c,experiment,Check your understanding of how to ask for and give advice!
a1,Talking About Possibilities,Learn to express when something might happen,Learn to express when something might happen,main,speak,Translate: Talking About Possibilities,Start Activity,9c758a79-5ed1-47f7-a4b9-8e9165c1a3ef,experiment,Check your understanding of how to talk about possibilities.
a1,Talking About Possibilities,Learn to express when something might happen,Learn to express when something might happen,main,play,Translate: Talking About Possibilities!,Start Activity,ed1a997a-97c8-4e9d-8137-f4261b9767e0,experiment,Check your understanding of how to talk about possibilities!
a1,Cause and Effect,Express what will happen IF something occurs,Express what will happen IF something occurs,main,speak,Translate: Cause and Effect,Start Activity,047723be-8e6b-455b-af2d-3360e30c9fbd,experiment,Check your understanding of cause and effect.
a1,Cause and Effect,Express what will happen IF something occurs,Express what will happen IF something occurs,main,play,Translate: Cause and Effect!,Start Activity,1d59bb3d-4893-4425-9b0a-68b53cd1597f,experiment,Check your understanding of cause and effect!
a1,Talk about Time,Learn how to talk about time,Learn how to talk about time,main,speak,Translate: Talk about Time,Start Activity,9526da61-e2c0-43d0-b7f7-2df8d5189616,experiment,Check your understanding of how to talk about time.
a1,Talk about Time,Learn how to talk about time,Learn how to talk about time,main,play,Translate: Talk about Time!,Start Activity,f7277019-0cad-437c-a5d7-8d1721c9420c,experiment,Check your understanding of how to talk about time!
a1,Talk About Future Plans & Intentions,Learn to talk about what you plan to do,Learn to talk about what you plan to do,main,speak,Translate: Talk About Future Plans & Intentions,Start Activity,36d16679-c65a-4bff-a762-26ebf6411870,experiment,Check your understanding of how to talk about future plans and intentions.
a1,Talk About Future Plans & Intentions,Learn to talk about what you plan to do,Learn to talk about what you plan to do,main,play,Translate: Talk About Future Plans & Intentions!,Start Activity,fdaedcd7-74bf-419e-8c02-ed1cd4860933,experiment,Check your understanding of how to talk about future plans and intentions!
a1,Ask About Places and Specific Things,How to ask about specific things and regular habits,How to ask about specific things and regular habits,main,speak,Translate: Ask About Places and Specific Things,Start Activity,d6b2af11-9a19-4353-957a-3b52129b10dd,experiment,Check your understanding of how to ask about places and specific things.
a1,Ask About Places and Specific Things,How to ask about specific things and regular habits,How to ask about specific things and regular habits,main,play,Translate: Ask About Places and Specific Things!,Start Activity,5cd2f764-00af-4f2f-ac22-568196494054,experiment,Check your understanding of how to ask about places and specific things!
a1,Talking About Your Needs,Learn how to express your needs,Learn how to express your needs,main,speak,Translate: Talking About Your Needs,Start Activity,3db5f7f1-eb6b-40c7-8795-1ff8f3f5d742,experiment,Check your understanding of how to talk about your needs.
a1,Talking About Your Needs,Learn how to express your needs,Learn how to express your needs,main,play,Translate: Talking About Your Needs!,Start Activity,6194880b-b002-45a8-99cf-96042dd468c8,experiment,Check your understanding of how to talk about your needs!
a1,What I Have & Don't Have,Tell or ask what you have or don't have,Learn words that will help you connect your sentences,main,speak,Translate: What I Have & Don't Have,Start Activity,f29b5d60-e4c8-47bf-983b-bb8e553e151b,experiment,Check your understanding of how to talk about what you have and don’t have.
a1,What I Have & Don't Have,Tell or ask what you have or don't have,Learn words that will help you connect your sentences,main,play,Translate: What I Have & Don't Have!,Start Activity,898b01b5-7cd4-4c05-9e63-ba34d0fc7e71,experiment,Check your understanding of how to talk about what you have and don’t have!
a1,Reporting What People Say,"Learn to report what people say in present, past and future",Learn to report what people say,main,speak,Translate: Reporting What People Say,Start Activity,3e57735a-6b98-4416-9612-bb51076987dc,experiment,Check your understanding of how to report what people say.
a1,Reporting What People Say,"Learn to report what people say in present, past and future",Learn to report what people say,main,play,Translate: Reporting What People Say!,Start Activity,c0b973f9-860f-4980-acea-3a060e6bd65c,experiment,Check your understanding of how to report what people say!
a1,Reflexive Pronouns,Learn how to use reflexive pronouns for emphasis,Learn how to use reflexive pronouns for emphasis,main,speak,Translate: Reflexive Pronouns,Start Activity,e7be91c6-83e4-4f21-95a3-956c8ccaafd6,experiment,Check your understanding of how to use reflexive pronouns.
a1,Reflexive Pronouns,Learn how to use reflexive pronouns for emphasis,Learn how to use reflexive pronouns for emphasis,main,play,Translate: Reflexive Pronouns!,Start Activity,901d30f3-1d11-4984-a455-8aeffed17089,experiment,Check your understanding of how to use reflexive pronouns!
a1,Quantifiers,Learn how to express amounts and quantities,Learn how to express amounts and quantities,main,speak,Translate: Quanitifiers,Start Activity,11dd66b8-db0d-496f-9cce-02f9a6dbf119,experiment,Check your understanding of how to use quantifiers.
a1,Quantifiers,Learn how to express amounts and quantities,Learn how to express amounts and quantities,main,play,Translate: Quanitifiers!,Start Activity,1dd36169-c528-462e-9989-874fcb821c91,experiment,Check your understanding of how to use quantifiers!
a1,Prepositions of time,Talking about when things happen,Talking about when things happen,main,speak,Translate: Prepositions of time,Start Activity,aeb239fc-accc-4864-a887-580ab33749d3,experiment,Check your understanding of how to use prepositions of time.
a1,Prepositions of time,Talking about when things happen,Talking about when things happen,main,play,Translate: Prepositions of time!,Start Activity,1b2071bb-2454-4cf0-ba83-2af2a7641422,experiment,Check your understanding of how to use prepositions of time!
a1,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,main,speak,Translate: Learn to use 'Do' in present tense,Start Activity,7e594be1-b88e-4979-a456-1c035d262175,experiment,Check your understanding of how to use “do” in the present tense.
a1,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,main,play,Translate: Learn to use 'Do' in present tense!,Start Activity,32f1ff61-b639-4cf4-a21c-af653766f894,experiment,Check your understanding of how to use “do” in the present tense!
a1,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in present tense,main,speak,Translate: Learn to use 'Do' in past tense,Start Activity,09bcdeec-b0b8-43f5-9319-4547cdaca01f,experiment,Check your understanding of how to use “did” in the past tense.
a1,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in present tense,main,play,Translate: Learn to use 'Do' in past tense!,Start Activity,c5b1c65e-e770-4acd-9944-dc76d760ad35,experiment,Check your understanding of how to use “did” in the past tense!
a1,Gerunds and Infinitives,Learn how to talk about actions using Gerunds and Infinitives,Learn how to talk about actions using Gerunds and Infinitives,main,speak,Translate: Gerunds and Infinitives,Start Activity,4cccef9c-23f3-49e5-b5f6-b98821e04f19,experiment,Check your understanding of how to use gerunds and infinitives.
a1,Gerunds and Infinitives,Learn how to talk about actions using Gerunds and Infinitives,Learn how to talk about actions using Gerunds and Infinitives,main,play,Translate: Gerunds and Infinitives!,Start Activity,73099bec-f50c-46ea-9d88-639be577b5b3,experiment,Check your understanding of how to use gerunds and infinitives!
a1,Present Perfect Simple,Talk about experiences and past actions.,Talk about experiences and past actions.,main,speak,Translate: Present Perfect Simple,Start Activity,1f747e9c-dc00-48eb-8d4a-c5ace3b6767c,experiment,Check your understanding of how to use the present perfect simple.
a1,Present Perfect Simple,Talk about experiences and past actions.,Talk about experiences and past actions.,main,play,Translate: Present Perfect Simple!,Start Activity,0532722f-ccc9-41c5-9182-916084b8f961,experiment,Check your understanding of how to use the present perfect simple!
a1,"Usage of ""Either...or""","Learn how to use ""Either...or"" in sentences","Learn how to use ""Either...or"" in sentences",main,speak,"Translate: Usage of ""Either...or""",Start Activity,be6e82b5-b49b-49c7-95a5-f1b1b4fe1105,experiment,Check your understanding of how to use “either…or.”
a1,"Usage of ""Either...or""","Learn how to use ""Either...or"" in sentences","Learn how to use ""Either...or"" in sentences",main,play,"Translate: Usage of ""Either...or""!",Start Activity,787411cf-6e7c-4b4a-8b78-2dbe30a9cd2c,experiment,Check your understanding of how to use “either…or.”!
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,speak,"Translate: ""Could Have"" in Sentences",Start Activity,53f7a8d2-42e9-4e9a-9c2f-3e9d8bcb14fa,experiment,Check your understanding of how to use “could have” in sentences.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,play,"Translate: ""Could Have"" in Sentences!",Start Activity,ece7df99-ee72-4f0d-85a1-f1a6d19ad70b,experiment,Check your understanding of how to use “could have” in sentences!
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,speak,Learn: Could Have (Basic Form),Start Activity,ba3a425a-fb22-44f1-a2fd-f551f602294e,main,Learn using “could have” for past possibilities.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,play,Could Have with Objects,Start Activity,a3a1b3b9-477b-4c0f-8b2f-9b9825120d7f,main,Use “could have” correctly before object nouns.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,speak,Practice: Could Have with Objects,Start Activity,6f14ab36-988f-45b3-9230-607c481ed35b,main,Practice forming “could have” sentences with objects.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,play,Learn: Could Not Have (Negative Form),Start Activity,321d6421-2893-4a2b-a8b3-9712a2ac009a,main,Use negative form correctly before object nouns.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,speak,Could Not Have with Objects,Start Activity,4d066518-50e0-4b62-b4c0-6ddd84014a56,main,Use negative form correctly before object nouns!
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,play,Practice: Could Not Have with Objects,Start Activity,0f0cf62f-f2fa-4548-82a7-834b562e97b3,main,Practice negative “could not have” sentences with objects.
a1,"""Could Have"" in Sentences","Learn to use ""Could Have"" in sentences","Learn to use ""Could Have"" in sentences",main,speak,Revise Could Have & Could Not Have,Start Activity,64faf2e7-c014-4e57-8bfa-1340c38fa8da,main,Practice positive and negative forms with objects.
a1,"""Should Have"" in Sentences","Learn to use ""Should Have"" in sentences","Learn to use ""Should Have"" in sentences",main,play,"Translate: ""Should Have"" in Sentences",Start Activity,b7be36c0-7fc6-4a29-8b9b-092ab2d6eea2,experiment,Check your understanding of how to use “should have” in sentences.
a1,"""Should Have"" in Sentences","Learn to use ""Should Have"" in sentences","Learn to use ""Should Have"" in sentences",main,speak,"Translate: ""Should Have"" in Sentences!",Start Activity,3cae8b9d-a54e-4f29-b37e-f6ecec407d61,experiment,Check your understanding of how to use “should have” in sentences!
a1,Expressing recent actions,Talking about things done recently,Talking about things done recently,main,play,Translate: Expressing recent actions,Start Activity,e7329df7-ff83-4048-8ce5-8353df7625ff,experiment,Check your understanding of how to express recent actions
a1,Expressing recent actions,Talking about things done recently,Talking about things done recently,main,speak,Translate: Expressing recent actions!,Start Activity,c74943e3-9c79-4932-a76f-9ac780044175,experiment,Check your understanding of how to express recent actions!
