screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Today, you'll learn how to talk about things that are near you in English.","आज, आप सीखेंगे कि English में अपने पास की चीज़ों के बारे में कैसे बात करें।",NEAR 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/0fea382d-a24e-4cc9-af06-bb7daab24290-NEAR_1.mp4,TRUE,,,,,,,,,,,,,
,translate,"But first, can you say this in English? This is my phone.","लेकिन पहले, क्या आप इसे English में बोल सकते हैं? यह मेरा phone है।",NEAR 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/d5df92f7-296e-43a9-b1cc-cfb5fc1df697-NEAR_2.mp4,,यह मेरा phone है।,इसे English में बोलिए,,,,,,,,,,,
,translate,"That sentence is 'This is my phone' in English. You use 'This is my' before things that belong to you and are close to you, like your phone, your bag, or your laptop. Simple! Let's practice using this!","वो sentence है 'This is my phone' English में। आप 'This is my' का use उन चीज़ों के पहले करते हैं जो आपकी हैं और आपके पास हैं, जैसे phone, bag, या laptop। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",NEAR 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/ffc3ce3a-60e7-45f1-845c-83b15751f536-NEAR_3.mp4,,This is my.....,यह बोलना कि आपके पास की चीज़ आपकी है,,,,,,,TRUE,,,,
2,mcq,"Which sentence is correct to show something belongs to you?
A) This my laptop
B) This is my laptop",अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,NEAR 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c63b4197-ccb8-44bf-8488-b6e0f4682377-NEAR_4.mp4,FALSE,अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,,,,b,This my laptop,This is my laptop,,,,,,
3,translate,Let's keep going. Say this in English: This is my bag.,चलिए आगे बढ़ते हैं। इसे English में बोलिए: यह मेरा bag है।,NEAR 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/ac611027-4b35-4230-8ee1-eb17a6a91ae2-NEAR_5.mp4,FALSE,यह मेरा bag है।,इसे English में बोलिए,This is my.....,,,,,a,TRUE,,,,
4,translate,Say this in English: This is my wallet.,इसे English में बोलिए: यह मेरा wallet है।,NEAR 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/0fdc6bbb-ad8a-4f5e-8b83-438efff294af-NEAR_6.mp4,FALSE,यह मेरा wallet है।,इसे English में बोलिए,This is my.....,,,,,,TRUE,,,,
5,translate,This is my watch.,यह मेरी watch है।,NEAR 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/78fff5aa-599c-4413-8daf-3aaa5f3a0e8b-NEAR_7.mp4,FALSE,यह मेरी watch है।,इसे English में बोलिए,This is my.....,,,,,,,,,,
6,translate,This is my notebook.,यह मेरी notebook है।,NEAR 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/bfb94368-f4e2-4c5f-85cb-a66e5823a292-NEAR_8.mp4,FALSE,यह मेरी notebook है।,इसे English में बोलिए,This is my.....,,,,,,,,,,
7,translate,Last question! This is my office.,आख़िरी सवाल! यह मेरा office है।,NEAR 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/a8585a09-bfcd-45b4-9082-7caec5c6e442-NEAR_9.mp4,FALSE,यह मेरा office है।,इसे English में बोलिए,This is my.....,,,,,,,,,,
9,media,That was amazing! Now let's practice in real situations. You'll describe things near you. Use 'This is my' to talk about what's around you!,बहुत बढ़िया! अब real situations में practice करते हैं। आप अपने पास की चीज़ों को describe करेंगे और उनके बारे में बताने के लिए 'This is my' का use करें!,NEAR 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/a05a7251-2c39-4bac-b38c-ccaa2e4d5cd9-NEAR_10.mp4,FALSE,,,,,,,,,,,,,
kitchen,conversation,"Hey! Let's play a game. I'll describe things near me, and you describe things near you. Ready?","Hey! Let's play a game. I'll describe things near me, and you describe things near you. Ready?",NEAR 21,https://sn-main.b-cdn.net/system-uploads/scenario-data/26ba4ec4-168c-4a83-a49b-2b1b387de7c2-NEAR_21.mp4,FALSE,,"Hey! चलिए एक game खेलते हैं। मैं अपने पास की चीज़ें बताऊंगी, और आप अपने पास की चीज़ें बताएंगे। Ready?",,,,,,,,,,,
kitchen,conversation,"Okay, I'm looking around... this is my phone on the table. Now you - look around, what's near you?","Okay, I'm looking around... this is my phone on the table. Now you - look around, what's near you?",NEAR 22,https://sn-main.b-cdn.net/system-uploads/scenario-data/c39726b5-6ff8-4adb-8b90-68b38546f00a-NEAR_22.mp4,FALSE,,"ठीक है, मैं इधर-उधर देख रही हूँ... यह मेरा phone table पर है। अब आपकी बारी — अपने आसपास देखिए, आपके पास क्या है?",,,,,,,,,,,
,conversation,Nice! I see my bag on the chair. What about you - what do you see near you?,Nice! This is my bag on the chair. What about you - what do you see near you?,NEAR 23,https://sn-main.b-cdn.net/system-uploads/scenario-data/2c947126-cc7f-4075-9517-fca5caeff5e9-NEAR_23.mp4,,,अच्छा! मुझे मेरी bag chair पर दिख रही है। आपके पास क्या है — आपको क्या दिख रहा है?,,,,,,,,,,,
