screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप सीखेंगे कि English में आपके पास क्या-क्या है, उसके बारे में कैसे बात करें।",https://sn-main.b-cdn.net/system-uploads/scenario-data/671110b5-1f00-48f0-bd52-1c3188c2c069-OWN_1.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? मेरे पास एक car है।",https://sn-main.b-cdn.net/system-uploads/scenario-data/0a31c4a0-fcd3-40aa-a81e-3b00c999720f-OWN_2.mp4,मेरे पास एक car है।,इसे English में बोलिए,,,I have a car,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
3,media,"वो sentence है 'I have a car' English में। आप 'I have a' का use उन चीज़ों के पहले करते हैं जो आपके पास होती हैं जैसे car, house, या job। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/68612479-6254-4ce7-abd1-6b3a008e211e-OWN_3.mp4,I have a....,यह बोलना कि आपके पास क्या है,,,,,,,TRUE,,,,
4,mcq,"आपके पास फोन है, यह बताने के लिए कौन सा sentence सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/d4705696-7179-4c5e-a2ca-78d8cbafe843-OWN_4.mp4,"आपके पास फोन है, यह बताने के लिए कौन सा sentence सही है?",,,,,I am having a phone,I have a phone,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: मेरे पास एक laptop है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/e4a26d0e-2c6c-4605-80d0-b68e9fdf8c8c-OWN_5.mp4,मेरे पास एक laptop है।,इसे English में बोलिए,I have a....,,I have a laptop,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/3dc746a7-31d3-4099-bc86-c0351f10f8f9-OU2-wrong-v1.1-sadnova.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2701b0dd-ccf2-4a9e-820a-7907f05f3830-OU2-partial-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
6,translate,इसे English में बोलिए: मेरे पास एक bike है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/1877d4cc-6a48-4cc0-b2c2-fd43a44a2142-OWN_6.mp4,मेरे पास एक bike है।,इसे English में बोलिए,I have a....,,I have a bike,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
7,translate,मेरे पास एक job है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/f1991d83-5846-4637-9023-6c5144c510c8-OWN_7.mp4,मेरे पास एक job है।,इसे English में बोलिए,I have a....,,I have a job,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
8,translate,मेरे पास एक bank account है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/6b4af163-8f73-4d01-88aa-306b1a15b683-OWN_8.mp4,मेरे पास एक bank account है।,इसे English में बोलिए,I have a....,,I have a bank account,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/3dc746a7-31d3-4099-bc86-c0351f10f8f9-OU2-wrong-v1.1-sadnova.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2701b0dd-ccf2-4a9e-820a-7907f05f3830-OU2-partial-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
9,translate,आख़िरी सवाल! मेरे पास एक office है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/966fba16-a12a-4a5c-8de1-dc6165561415-OWN_9.mp4,मेरे पास एक office है।,इसे English में बोलिए,I have an....,,I have an office,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4
10,media,"बहुत बढ़िया! अब आइए real situations में practice करें। आप अपनी चीज़ों के बारे में बात करेंगे, और उन्हें describe करने के लिए 'I have a' या 'I have an' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/759a5843-3095-4249-894f-169821f9fa94-OWN_10.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
