screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप सीखेंगे कि English में अपनी जरूरतें कैसे बताएं।",https://sn-main.b-cdn.net/system-uploads/scenario-data/8445f4a1-1d51-4bef-af14-0ef7d0297efd-NEED_6.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? मुझे थोड़ा पानी चाहिए।",https://sn-main.b-cdn.net/system-uploads/scenario-data/5bfde7ca-b6e1-40bc-9eb1-11404ace8293-NEED_7.mp4,मुझे थोड़ा पानी चाहिए।,इसे English में बोलिए,,,I need some water,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
3,media,"यह sentence English में 'I need some water' है। आप 'I need some' का use उन चीज़ों के पहले करते हैं जिनकी आपको ज़रूरत होती है जैसे water, money, या help। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/8607cbca-61a9-40c8-ac94-8376573c31b5-NEED_8.mp4,I need some.....,यह बोलने के लिए कि आप कुछ चाहते हैं,,,,,,,TRUE,,,,
4,mcq,"Coffee चाहिए, यह कहने के लिए कौन सा sentence सही है?",https://sn-main.b-cdn.net/system-uploads/scenario-data/c220556a-aeab-480d-b446-d7b1fea5a0fa-NEED_9.mp4,"Coffee की ज़रूरत बताने के लिए कौन सा sentence सही है?",,,,,I need few coffee,I need some coffee,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: मुझे थोड़ा दूध चाहिए।,https://sn-main.b-cdn.net/system-uploads/scenario-data/4c6fa1ad-c517-466e-8922-894b6a431da7-NEED_10.mp4,मुझे थोड़ा दूध चाहिए।,इसे English में बोलिए,I need some.....,,I need some milk,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
6,translate,इसे English में बोलिए: मुझे थोड़ा time चाहिए।,https://sn-main.b-cdn.net/system-uploads/scenario-data/822fd741-c765-4eb7-97f4-6607b88269ab-NEED_11.mp4,मुझे थोड़ा time चाहिए।,इसे English में बोलिए,I need some.....,,I need some time,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
7,translate,मुझे थोड़े चावल चाहिए।,https://sn-main.b-cdn.net/system-uploads/scenario-data/62926e50-9e88-4dff-b16e-696ca1232517-NEED_12.mp4,मुझे थोड़े चावल चाहिए।,इसे English में बोलिए,I need some.....,,I need some rice,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
8,translate,मुझे थोड़े पैसे चाहिए।,https://sn-main.b-cdn.net/system-uploads/scenario-data/1c31a87d-9d2d-4dd5-98d1-a31c25d54268-NEED_13.mp4,मुझे थोड़े पैसे चाहिए।,इसे English में बोलिए,I need some.....,,I need some money,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
9,translate,आख़िरी सवाल! मुझे थोड़ी help चाहिए।,https://sn-main.b-cdn.net/system-uploads/scenario-data/2a071496-6538-43d7-8d67-8a5e210b2eef-NEED_14.mp4,मुझे थोड़ी help चाहिए।,इसे English में बोलिए,I need some.....,,I need some help,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4
10,media,"बहुत बढ़िया! अब real situations में practice करते हैं। आप लोगों को बताएंगे कि आपको क्या चाहिए। अपनी ज़रूरत बताने के लिए 'I need some' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/53eefdac-442c-49e9-9ea9-73014bc8bd30-NEED_15.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
