screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Today, you'll learn how to talk about what you own in English.","आज, आप सीखेंगे कि English में आपके पास क्या-क्या है, उसके बारे में कैसे बात करें।",OWN 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/671110b5-1f00-48f0-bd52-1c3188c2c069-OWN_1.mp4,TRUE,,,,,,,,,,,,,
,translate,"But first, can you say this in English? I have a car.","लेकिन पहले, क्या आप इसे English में बोल सकते हैं? मेरे पास एक car है।",OWN 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/0a31c4a0-fcd3-40aa-a81e-3b00c999720f-OWN_2.mp4,,मेरे पास एक car है।,इसे English में बोलिए,,,,,,,,,,,
,translate,"That sentence is 'I have a car' in English. You use 'I have a' before things you own like a car, a house, or a job. Simple! Let's practice using this!","वो sentence है 'I have a car' English में। आप 'I have a' का use उन चीज़ों के पहले करते हैं जो आपके पास होती हैं जैसे car, house, या job। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",OWN 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/68612479-6254-4ce7-abd1-6b3a008e211e-OWN_3.mp4,,I have a....,यह बोलना कि आपके पास क्या है,,,,,,,TRUE,,,,
2,mcq,"Which sentence is correct to say you own a phone?
A) I am having a phone
B) I have a phone","आपके पास फोन है, यह बताने के लिए कौन सा sentence सही है?",OWN 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d4705696-7179-4c5e-a2ca-78d8cbafe843-OWN_4.mp4,FALSE,Desk पर कई cups को describe करने के लिए कौन सा sentence सही है?,,,,b,I am having a phone,I have a phone,,,,,,
3,translate,Let's keep going. Say this in English: I have a laptop.,चलिए आगे बढ़ते हैं। इसे English में बोलिए: मेरे पास एक laptop है।,OWN 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/e4a26d0e-2c6c-4605-80d0-b68e9fdf8c8c-OWN_5.mp4,FALSE,मेरे पास एक laptop है।,इसे English में बोलिए,I have a....,,,,,a,TRUE,,,,
4,translate,Say this in English: I have a bike.,इसे English में बोलिए: मेरे पास एक bike है।,OWN 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/1877d4cc-6a48-4cc0-b2c2-fd43a44a2142-OWN_6.mp4,FALSE,मेरे पास एक bike है।,इसे English में बोलिए,I have a....,,,,,,TRUE,,,,
5,translate,I have a job.,मेरे पास एक job है।,OWN 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/f1991d83-5846-4637-9023-6c5144c510c8-OWN_7.mp4,FALSE,मेरे पास एक job है।,इसे English में बोलिए,I have a....,,,,,,,,,,
6,translate,I have a bank account.,मेरे पास एक bank account है।,OWN 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/6b4af163-8f73-4d01-88aa-306b1a15b683-OWN_8.mp4,FALSE,मेरे पास एक bank account है।,इसे English में बोलिए,I have a....,,,,,,,,,,
7,translate,Last question! I have an office.,आख़िरी सवाल! मेरे पास एक office है।,OWN 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/966fba16-a12a-4a5c-8de1-dc6165561415-OWN_9.mp4,FALSE,मेरे पास एक office है।,इसे English में बोलिए,I have an....,,,,,,,,,,
9,media,That was amazing! Now let's practice in real situations. You'll talk about what you own. Use 'I have a' or 'I have an' to describe your possessions!,"बहुत बढ़िया! अब आइए real situations में practice करें। आप अपनी चीज़ों के बारे में बात करेंगे, और उन्हें describe करने के लिए 'I have a' या 'I have an' का use करें!",OWN 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/759a5843-3095-4249-894f-169821f9fa94-OWN_10.mp4,FALSE,,,,,,,,,,,,,
