screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,hi_video_url,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Today, you'll learn how to describe what's around you in English.","आज, आप English में अपने आसपास की चीज़ों को describe करना सीखेंगे।",DESCRIBE 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/b5489610-2254-4ae8-8666-6a454984f14c-DESCRIBE_1.mp4,TRUE,,,,,,,,,,,,,
,translate,"But first, can you say this in English? There is a laptop on the desk.","लेकिन पहले, क्या आप इसे English में बोल सकते हैं? Desk पर एक laptop है।",DESCRIBE 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/cda9b236-6f74-4f63-9c4a-d6d4abb4b08c-DESCRIBE_2.mp4,,Desk पर एक laptop है।,इसे English में बोलिए,,,,,,,,,,,
,translate,"That sentence is 'There is a laptop on the desk' in English. You use 'There is a' before something you see, then say where it is like 'on the desk' or 'in the room'. Simple! Let's practice using this!","यह वाक्य English में 'There is a laptop on the desk' है। आप किसी दिखाई देने वाली चीज़ के आगे 'There is a' का use करते हैं, फिर बताते हैं कि वह कहाँ है, जैसे 'on the desk' या 'in the room'। आसान है! चलिए इसका इस्तेमाल करके practice करते हैं!",DESCRIBE 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/8b6f2d85-d1ae-4fb1-a0b1-c3bf8a5010fb-DESCRIBE_3.mp4,,There is a [item] in/on the [place],यह बोलना कि वहाँ कुछ है,,,,,,,TRUE,,,,
2,mcq,"Which sentence is correct to describe a phone on a table?
A) Phone is on table
B) There is a phone on the table",Table पर phone को describe करने के लिए कौन सा sentence सही है?,DESCRIBE 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/add17c34-96b9-463a-bd8c-65e1dfe4f29b-DESCRIBE_4.mp4,FALSE,"Table पर phone को describe करने के लिए कौन सा sentence सही है?
",,,,b,"Phone is on table
",There is a phone on the table,,,,,,
3,translate,Let's keep going. Say this in English: There is a cup on the table.,चलिए आगे बढ़ते हैं। इसे English में बोलिए: Table पर एक cup है।,DESCRIBE 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/a1a8c2ad-dfc7-4747-9389-5c84963b68dd-DESCRIBE_5.mp4,FALSE,Table पर एक cup है।,इसे English में बोलिए,There is a [item] in/on the [place],,,,,a,TRUE,,,,
4,translate,Say this in English: There is a bag in the car.,इसे English में बोलिए: कार में एक bag है।,DESCRIBE 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/eebc22e3-d626-41d5-8c47-bfc2f0724a86-DESCRIBE_6.mp4,FALSE,कार में एक bag है।,इसे English में बोलिए,There is a [item] in/on the [place],,,,,,TRUE,,,,
5,translate,There is a pen on the desk.,Desk पर एक pen है।,DESCRIBE 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/dc711756-e1bc-4f31-9d80-d7bfea395a20-DESCRIBE_7.mp4,FALSE,Desk पर एक pen है।,इसे English में बोलिए,There is a [item] in/on the [place],,,,,,,,,,
6,translate,There is a bottle in the fridge.,Fridge में एक bottle है।,DESCRIBE 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/13fe5e99-fb7f-42d9-8838-b629e7f93791-DESCRIBE_8.mp4,FALSE,Fridge में एक bottle है।,इसे English में बोलिए,There is a [item] in/on the [place],,,,,,,,,,
7,translate,Last question! There is an umbrella in the bag.,आख़िरी सवाल! Bag में एक umbrella है।,DESCRIBE 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/0b60b478-9c0d-4982-843f-4549e195e36a-DESCRIBE_9.mp4,FALSE,Bag में एक umbrella है।,इसे English में बोलिए,There is an [item] in/on the [place],,,,,,,,,,
9,media,That was amazing! Now let's practice in real situations. You'll describe what you see. Use 'There is a' or 'There is an' to describe!,"बहुत बढ़िया! अब real situations में practice करते हैं। आप जो देखते हैं, उसे describe करेंगे। Describe करने के लिए 'There is a' या 'There is an' का use करें!",DESCRIBE 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/5dceeafb-dea6-4c50-a743-b3c9570afb5b-DESCRIBE_10.mp4,FALSE,,,,,,,,,,,,,
