screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप सीखेंगे कि English में दूर की चीज़ों के बारे में कैसे बात करें।",https://sn-main.b-cdn.net/system-uploads/scenario-data/83eabf91-922b-473d-806a-4344478c2cd7-FAR_7.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? वह मेरी car है।",https://sn-main.b-cdn.net/system-uploads/scenario-data/216615e2-5f16-4f86-befa-73f84517949d-FAR_8.mp4,वह मेरी car है।,इसे English में बोलिए,,,That is my car,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
3,media,"वो sentence है 'That is my car' English में। आप 'That is my' का use उन चीज़ों के पहले करते हैं जो आपकी हैं लेकिन आपसे दूर हैं, जैसे parking में आपकी car या सड़क के उस पार आपका house। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/f69f7d32-f8e5-49da-9627-5339d3dba8c6-FAR_9.mp4,That is my.....,यह बोलना कि दूर की चीज़ आपकी है,,,,,,,TRUE,,,,
4,mcq,दूर की अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/34e29764-f9b9-47b2-936d-077d3c8bad9b-FAR_10.mp4,दूर की अपनी चीज़ दिखाने के लिए कौन सा sentence सही है?,,,,,That my car,That is my car,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/1415fb99-21f4-443c-99aa-bc4eb189901c-OU5---partial-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: वह मेरा house है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/4869c050-4da5-4220-88c8-7112d5b7d4d8-FAR_11.mp4,वह मेरा house है।,इसे English में बोलिए,That is my.....,,That is my house,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/81409a34-c42a-4c50-a6e3-07249a95e6f7-OU5---partial-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
6,translate,इसे English में बोलिए: वह मेरी bike है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/13a34c15-b8be-4bd3-9315-db2eb0503cbd-FAR_12.mp4,वह मेरी bike है।,इसे English में बोलिए,That is my.....,,That is my bike,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
7,translate,वह मेरी office building है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/03f7935a-8387-4786-952b-c238e6697fbb-FAR_13.mp4,वह मेरी office building है।,इसे English में बोलिए,That is my.....,,That is my office building,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/1415fb99-21f4-443c-99aa-bc4eb189901c-OU5---partial-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
8,translate,वह मेरी car है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/51e0e732-7e77-42aa-90ee-23ecf010775a-FAR_14.mp4,वह मेरी car है।,इसे English में बोलिए,That is my.....,,That is my car,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/81409a34-c42a-4c50-a6e3-07249a95e6f7-OU5---partial-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
9,translate,आख़िरी सवाल! वह मेरा apartment है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/565bdf8c-11b4-42da-829e-b7b0cb6581fb-FAR_15.mp4,वह मेरा apartment है।,इसे English में बोलिए,That is my.....,,That is my apartment,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
10,media,"बहुत बढ़िया! अब real situations में practice करते हैं। आप दूर की चीज़ों की ओर point करेंगे और उनके बारे में बताने के लिए 'That is my' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/0c49c567-fc34-45bd-ae06-bdebd835cf65-FAR_16.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
11,conversation,"Hey! Let's play a game. I'll point to things far from me, and you point to things far from you. Ready?",https://sn-main.b-cdn.net/system-uploads/scenario-data/bac0bbde-b416-4d54-9091-c70f00e2e8ad-FAR_1.mp4,,"Hey! चलिए एक और game खेलते हैं। मैं दूर की चीज़ों की ओर इशारा करूंगी, और आप भी दूर की चीज़ों की ओर इशारा करेंगे। Ready?",That is my...,,,,,,,,,,
12,conversation,"Okay, that is my car in the parking lot. Now you - look far away, what do you see?",https://sn-main.b-cdn.net/system-uploads/scenario-data/6285e695-a9f6-4eb2-9990-b76cff8d4fc4-FAR_2.mp4,,"ठीक है, मैं वहाँ देख रही हूँ... वह parking में मेरी car है। अब आपकी बारी — दूर देखिए, आपको क्या दिख रहा है?",That is my...,,,,,,,,,,
13,conversation,Nice! I can see that is my office building across the street. What about you - what's far from you?,https://sn-main.b-cdn.net/system-uploads/scenario-data/57089fbe-a3a7-4451-80d4-43eda314e96b-FAR_3.mp4,,अच्छा! मुझे सड़क के उस पार मेरी office building दिख रही है। आपके पास क्या है — आपसे दूर क्या है?,That is my...,,,,,,,,,,
14,conversation,"Cool! Over there, that is my bike near the gate. Your turn - what can you point to far away?",https://sn-main.b-cdn.net/system-uploads/scenario-data/c63e3659-bd26-4cf1-afcb-97fa97a9d1cc-FAR_4.mp4,,बढ़िया! वहाँ gate के पास मेरी bike है। अब आपकी बारी — आप दूर किस चीज़ की ओर इशारा कर सकते हैं?,That is my...,,,,,,,,,,
15,conversation,Great! I see that is my bag on that chair over there. Look around - what else is far from you?,https://sn-main.b-cdn.net/system-uploads/scenario-data/11208e09-9a91-4577-aa9c-a878b9c25e20-FAR_5.mp4,,Great! मुझे वहाँ उस chair पर मेरा bag दिख रहा है। इधर-उधर देखिए — आपसे दूर और क्या है?,That is my...,,,,,,,,,,
16,conversation,Perfect! And that is my water bottle on that table. Last one - what do you see in the distance?,https://sn-main.b-cdn.net/system-uploads/scenario-data/df7f14a3-2cd7-49fe-bf84-944dbcf0a90a-FAR_6.mp4,,Perfect! और वहाँ उस table पर मेरी water bottle है। आख़िरी — आपको दूर क्या दिख रहा है?,That is my...,,,,,,,,,,
17,media,आपने बहुत अच्छा किया!,https://sn-main.b-cdn.net/system-uploads/scenario-data/622c40c4-2b89-46f2-b30e-b17c9f62dc42-FAR_17.mp4,,Awesome! 👏,,,,,,,,,,,,,
18,conversation-result,,,,,,,,,,,,https://sn-main.b-cdn.net/system-uploads/scenario-data/0689e46d-c2f1-4674-822a-2f313124f564-FAR_20.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/6c4508e6-eb3b-49d4-a79a-9c89014c375d-FAR_19.mp4,,
19,media,"अब आप जानते हैं कि 'That is my' का use करके दूर की चीज़ों के बारे में कैसे बात करें। Practice करते रहें और यह जल्द ही natural लगने लगेगा!",https://sn-main.b-cdn.net/system-uploads/scenario-data/bdfb9542-600c-422e-9aa0-a26a25da4978-FAR_18.mp4,That is my.....,You learned this! 🎉,,Finish Lesson,,,,,,,,,
