screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Hey! याद है, पिछली बार आपने 'There is' का use करके एक object के बारे में बोलना सीखा था? आज, आप सीखेंगे कि English में अपने आसपास कई चीज़ों को कैसे describe करें।",https://sn-main.b-cdn.net/system-uploads/scenario-data/b2429b94-87ab-4980-8466-e4f77af6965b-ARE_6.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? Table पर किताबें हैं।",https://sn-main.b-cdn.net/system-uploads/scenario-data/14c551f8-f4ba-4faa-b2b5-499d2b623e30-ARE_7.mp4,Table पर किताबें हैं।,इसे English में बोलिए,,,There are books on the table,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
3,media,"यह sentence English में 'There are books on the table' है। आप कई चीज़ों के पहले 'There are' का use करते हैं जैसे books, pens, या people। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/cfd191d4-b435-4bc1-91fc-423c0ff7ca4a-ARE_8.mp4,"There are [items] in/on the [place]",यह बोलना कि वहाँ बहुत सारी चीज़ें हैं,,,,,,,TRUE,,,,
4,mcq,Desk पर कई cups को describe करने के लिए कौन सा sentence सही है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/b240d7ab-9dac-491b-a0b0-1c3b6c20f178-ARE_9.mp4,Desk पर कई cups को describe करने के लिए कौन सा sentence सही है?,,,,,There is cups on the desk,There are cups on the desk,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/1415fb99-21f4-443c-99aa-bc4eb189901c-OU5---partial-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: Desk पर pens हैं।,https://sn-main.b-cdn.net/system-uploads/scenario-data/0bf7faa5-880a-4969-831e-84cb5bf160ae-ARE_10.mp4,Desk पर pens हैं।,इसे English में बोलिए,"There are [items] in/on the [place]",,There are pens on the desk,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/81409a34-c42a-4c50-a6e3-07249a95e6f7-OU5---partial-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
6,translate,इसे English में बोलिए: Fridge में bottles हैं।,https://sn-main.b-cdn.net/system-uploads/scenario-data/b289c9a2-1454-4a58-b324-5702fa4df099-ARE_11.mp4,Fridge में bottles हैं।,इसे English में बोलिए,"There are [items] in/on the [place]",,There are bottles in the fridge,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
7,translate,Table पर laptops हैं।,https://sn-main.b-cdn.net/system-uploads/scenario-data/76d60514-f720-4a38-879f-89c4b7159ccb-ARE_12.mp4,Table पर laptops हैं।,इसे English में बोलिए,"There are [items] in/on the [place]",,There are laptops on the table,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/1415fb99-21f4-443c-99aa-bc4eb189901c-OU5---partial-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
8,translate,Office में लोग हैं।,https://sn-main.b-cdn.net/system-uploads/scenario-data/6a7eeea5-6634-4961-bff4-5e8d428ee2aa-ARE_13.mp4,Office में लोग हैं।,इसे English में बोलिए,"There are [items] in/on the [place]",,There are people in the office,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/81409a34-c42a-4c50-a6e3-07249a95e6f7-OU5---partial-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
9,translate,आख़िरी सवाल! Balcony में plants हैं।,https://sn-main.b-cdn.net/system-uploads/scenario-data/4c8fc068-dbfd-4d89-9b57-0adc3a4eb178-ARE_14.mp4,Balcony में plants हैं।,इसे English में बोलिए,"There are [items] in/on the [place]",,There are plants in the balcony,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4
10,media,"बहुत बढ़िया! अब real situations में practice करते हैं। आप जो देखते हैं, उसे describe करेंगे। कई चीज़ों को describe करने के लिए 'There are' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/94364b0f-5906-466e-a774-153f4d2c0915-ARE_15.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
