screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Hey! Remember last time you learned how to talk about one thing using 'There is'? Today, you'll learn how to describe multiple things around you in English.","Hey! याद है, पिछली बार आपने 'There is' का use करके एक object के बारे में बोलना सीखा था? आज, आप सीखेंगे कि English में अपने आसपास कई चीज़ों को कैसे describe करें।",ARE 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/b2429b94-87ab-4980-8466-e4f77af6965b-ARE_6.mp4,TRUE,,,,,,,,,,,,,
,translate,"But first, can you say this in English? There are books on the table.","लेकिन पहले, क्या आप इसे English में बोल सकते हैं? Table पर किताबें हैं।",ARE 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/14c551f8-f4ba-4faa-b2b5-499d2b623e30-ARE_7.mp4,,Table पर किताबें हैं।,इसे English में बोलिए,,,,,,,,,,,
,translate,"That sentence is 'There are books on the table' in English. You use 'There are' before multiple things like books, pens, or people. Simple! Let's practice using this!","यह sentence English में 'There are books on the table' है। आप कई चीज़ों के पहले 'There are' का use करते हैं जैसे books, pens, या people। Simple! चलिए इसका इस्तेमाल करके practice करते हैं!",ARE 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/cfd191d4-b435-4bc1-91fc-423c0ff7ca4a-ARE_8.mp4,,There are [items] in/on the [place],यह बोलना कि वहाँ बहुत सारी चीज़ें हैं,,,,,,,TRUE,,,,
2,mcq,"Which sentence is correct to describe multiple cups on a desk?
A) There is cups on the desk
B) There are cups on the desk",Desk पर कई cups को describe करने के लिए कौन सा sentence सही है?,ARE 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/b240d7ab-9dac-491b-a0b0-1c3b6c20f178-ARE_9.mp4,FALSE,Desk पर कई cups को describe करने के लिए कौन सा sentence सही है?,,,,b,There is cups on the desk,There are cups on the desk,,,,,,
3,translate,Let's keep going. Say this in English: There are pens on the desk.,चलिए आगे बढ़ते हैं। इसे English में बोलिए: Desk पर pens हैं।,ARE 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/0bf7faa5-880a-4969-831e-84cb5bf160ae-ARE_10.mp4,FALSE,Desk पर pens हैं।,इसे English में बोलिए,There are [items] in/on the [place],,,,,a,TRUE,,,,
4,translate,Say this in English: There are bottles in the fridge.,इसे English में बोलिए: Fridge में bottles हैं।,ARE 11,https://sn-main.b-cdn.net/system-uploads/scenario-data/b289c9a2-1454-4a58-b324-5702fa4df099-ARE_11.mp4,FALSE, Fridge में bottles हैं।,इसे English में बोलिए,There are [items] in/on the [place],,,,,,TRUE,,,,
5,translate,There are laptops on the table.,Table पर laptops हैं।,ARE 12,https://sn-main.b-cdn.net/system-uploads/scenario-data/76d60514-f720-4a38-879f-89c4b7159ccb-ARE_12.mp4,FALSE,Table पर laptops हैं।,इसे English में बोलिए,There are [items] in/on the [place],,,,,,,,,,
6,translate,There are people in the office.,Office में लोग हैं।,ARE 13,https://sn-main.b-cdn.net/system-uploads/scenario-data/6a7eeea5-6634-4961-bff4-5e8d428ee2aa-ARE_13.mp4,FALSE,Office में लोग हैं।,इसे English में बोलिए,There are [items] in/on the [place],,,,,,,,,,
7,translate,Last question! There are plants in the balcony.,आख़िरी सवाल! Balcony में plants हैं।,ARE 14,https://sn-main.b-cdn.net/system-uploads/scenario-data/4c8fc068-dbfd-4d89-9b57-0adc3a4eb178-ARE_14.mp4,FALSE,Balcony में plants हैं।,इसे English में बोलिए,There are [items] in/on the [place],,,,,,,,,,
9,media,That was amazing! Now let's practice in real situations. You'll describe what you see. Use 'There are' to describe multiple things!,"बहुत बढ़िया! अब real situations में practice करते हैं। आप जो देखते हैं, उसे describe करेंगे। कई चीज़ों को describe करने के लिए 'There are' का use करें!",ARE 15,https://sn-main.b-cdn.net/system-uploads/scenario-data/94364b0f-5906-466e-a774-153f4d2c0915-ARE_15.mp4,FALSE,,,,,,,,,,,,,
kitchen,conversation,Look at this desk. What do you see on it?,Look at this table. What do you see on it?,ARE 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/2ab2d72b-c14c-499e-9511-dc0442b9c56a-ARE_1.mp4,FALSE,,इस desk को देखिए। आपको इस पर क्या दिख रहा है?,,,,,,,,,,,
kitchen,conversation,Look at this shelf. What do you see on it?,Look at this shelf. What do you see on it?,ARE 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/b3726432-760c-4bf6-baba-751f9b3db1bd-ARE_2.mp4,FALSE,,इस shelf को देखिए। आपको इस पर क्या दिख रहा है?,,,,,,,,,,,
,conversation,Look at this bag. What do you see in it?,Look at this bag. What do you see in it?,ARE 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/cfde057a-6ebe-4dc9-9790-8da561f5494a-ARE_3.mp4,,,इस bag को देखिए। आपको इसमें क्या दिख रहा है?,,,,,,,,,,,
12,conversation,Look at this box. What do you see in it?,Look at this box. What do you see in it?,ARE 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/3f014432-7ccc-4c11-8021-ed685e24776f-ARE_4.mp4,FALSE,,इस box को देखिए। आपको इसमें क्या दिख रहा है?,,,,,,,,,,,
,conversation,Look at this table. What do you see on it?,Look at this table. What do you see on it?,ARE 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/2a01fc67-b0b6-483f-8129-597fdc96b81b-ARE_5.mp4,,,इस table को देखिए। आपको इस पर क्या दिख रहा है?,,,,,,,,,,,
,conversation-result,You did so well!,आपने बहुत अच्छा किया!,ARE 16,https://sn-main.b-cdn.net/system-uploads/scenario-data/58108377-0bb0-4ef8-9427-1c83fe079afb-ARE_16.mp4,,,,,,,,,,,,,,
,media,You now know how to describe multiple things around you using 'There are' followed by where the objects are. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'There are' का use करके अपने आसपास कई चीज़ों को describe कैसे करें और फिर बताएं कि वे कहाँ हैं। Practice करते रहें और यह जल्द ही natural लगने लगेगा!,ARE 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/6eb30cb1-e540-48b6-8886-380d2b75cb5a-ARE_17.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,ARE 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/b1752613-3a86-4511-8707-5c070ec27cb8-ARE_18.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,ARE 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/09ba9307-3f99-4b0d-9742-3e4ebeb23fcf-ARE_19.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4 ",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4 ",,,,,,,,,,,,,,
