screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"Learning to talk about your daily routine helps you describe your day, share your schedule with others, and have everyday conversations in English.","अपनी daily routine के बारे में बात करना सीखने से आप अपना दिन describe कर सकते हैं, अपना schedule दूसरों के साथ share कर सकते हैं, और English में रोज़मर्रा की conversations कर सकते हैं।",DR 1,https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f010dd-2dec-47d7-99dd-9d04c132ad93-DR_1.mp4,TRUE,,,,,,,,,,,,,
,media,"Let's start our lesson. When you want to say what you do at a specific time, you say ""I"" followed by the action, what you're doing it to, and when. You say - ""I eat breakfast at 7 AM."" Follow this pattern: I + action + thing + at + time!","चलिए lesson शुरू करते हैं। जब आप बताना चाहते हैं कि आप किसी specific time पर क्या करते हैं, तो आप ""I"" के बाद action, फिर object, और फिर time बोलते हैं। जैसे — ""I eat breakfast at 7 AM."" इस pattern को follow करें: I + action + thing + at + time!",DR 2,https://sn-main.b-cdn.net/system-uploads/scenario-data/a8db4279-ac3a-4d10-a23f-f46d75d674fd-DR_2.mp4,,I + action + thing + at + time!,यह बोलना कि आप किसी specific time पर क्या करते हो,,,,,,,,,,,
,mcq,"Which option is correct for saying when you drink coffee?
A) I drink coffee at 8 AM
B) at 8 AM I drink coffee",Coffee पीने का time बताने के लिए कौन सा option सही है?,DR 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/66c1e0f9-58c4-438c-8f42-a379d4ca8069-DR_3.mp4,,Coffee पीने का time बताने के लिए कौन सा option सही है?,,,,a,I drink coffee at 8 AM,at 8 AM I drink coffee,,TRUE,,,,
2,translate,How would you say you check emails at 9 AM?,आप 9AM पर emails check करने के लिए कैसे कहेंगे?,DR 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/f9f04ffa-e12a-4c70-aa5c-6beb6e0719c4-DR_4.mp4,FALSE,आप 9 AM पर emails check करने के लिए कैसे कहेंगे?,इसे English में बोलिए,I + action + thing + at + time!,,,,,,,,,,
3,translate,How would you say you eat lunch at 1 PM?,आप 1PM पर lunch खाने के लिए कैसे कहेंगे?,DR 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/313e8876-04b6-4f78-a600-ae5af6613f9d-DR_5.mp4,FALSE,आप 1 PM पर lunch खाने के लिए कैसे कहेंगे?,इसे English में बोलिए,I + action + thing + at + time!,,,,,,TRUE,,,,
4,media,"When you want to say what you do next in your routine, you say ""Then I"" followed by the action and what you're doing it to. You say - ""Then I read books."" Follow this pattern: Then I + action + thing!","जब आप अपनी routine में अगला काम बताना चाहते हैं, तो आप ""Then I"" के बाद action और object बोलते हैं। जैसे — ""Then I read books."" इस pattern को follow करें: Then I + action + thing!",DR 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/f7ea3b92-eb4f-49e8-9d3f-e006e651d0a6-DR_6.mp4,FALSE,Then I + action + thing!,यह बोलना कि आप उसके बाद क्या करते हो,,,,,,,TRUE,,,,
5,mcq,"Which option is correct for saying what you do after breakfast?
A) Then I wash clothes
B) After I wash cloth","Breakfast के बाद आप क्या करते हैं, यह बताने के लिए कौन सा option सही है?
",DR 7,https://sn-main.b-cdn.net/system-uploads/scenario-data/c65188df-2df5-4763-81b0-913a0790ac67-DR_7.mp4,FALSE,"Breakfast के बाद आप क्या करते हैं, यह बताने के लिए कौन सा option सही है?
",,,,a,Then I wash clothes,After I wash cloth,,,,,,
6,translate,How would you say what you do after waking up? (Then I...),आप उठने के बाद क्या करते हैं? ,DR 8,https://sn-main.b-cdn.net/system-uploads/scenario-data/a2ad48ce-c902-4cf5-9447-bf5f2bfe6737-DR_8.mp4,FALSE,आप उठने के बाद क्या करते हैं? ,इसे English में बोलिए,Then I + action + thing!,,,,,,,,,,
7,translate,How would you say what you do after lunch? (Then I...),आप lunch के बाद क्या करते हैं? ,DR 9,https://sn-main.b-cdn.net/system-uploads/scenario-data/06a93fae-251b-48b4-9702-395dfbcfd2c2-DR_9.mp4,FALSE,आप lunch के बाद क्या करते हैं? ,इसे English में बोलिए,Then I + action + thing!,,,,,,,,,,
9,media,"When you want to say what happens later in your routine, you say ""After that I"" followed by the action and what you're doing it to. You say - ""After that I watch TV."" Follow this pattern: After that I + action + thing!","जब आप अपनी routine में बाद में होने वाली चीज़ बताना चाहते हैं, तो आप ""After that I"" के बाद action और object बोलते हैं। जैसे — ""After that I watch TV."" इस pattern को follow करें: After that I + action + thing!",DR 10,https://sn-main.b-cdn.net/system-uploads/scenario-data/1ccd7ea3-ae2f-45ca-b209-eaa35532ebf0-DR_10.mp4,FALSE,After that I + action + thing!,यह बोलना कि आप उसके बाद क्या करते हो,,,,,,,,,,,
