course_key,section_title,section_description,section_subtext,section_track_type,activity_type,activity_title,activity_cta,scenario_id,activity_track_type,activity_subtext
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,play,Translate: Expressing recent actions,Start Activity,e7329df7-ff83-4048-8ce5-8353df7625ff,main,Translate sentences about recent actions.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,speak,Learn about Recent Actions,Start Activity,a7b9b29e-bdc2-496f-a9ee-15bf58641bdb,main,Learn to talk about things you just did.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,play,Talking About Recent Actions,Start Activity,b1eddaea-06bb-46bd-b9f1-320fc86eaa8b,main,Practice talking about recent actions.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,speak,Recent Actions with Objects,Start Activity,1c075121-6b26-4491-8715-18455921d380,main,Use recent actions with object words.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,play,Time Expressions with 'Just',Start Activity,cad92f5b-37b9-4ccf-b878-09d34e5aa989,main,Learn to use 'just' for recent actions.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,speak,Ask About Recent Actions,Start Activity,aeca0976-e23c-4249-be6d-d4d5f104fcaa,main,Learn to ask about what others just did.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,play,Ask About Others' Recent Actions,Start Activity,85828970-1205-4117-847d-7bcda2c26260,main,Ask what other people recently did.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,speak,Practice: All Recent Actions,Start Activity,35b80eb1-d4a9-49ec-8022-c0070dcebab9,main,Practice all recent action sentences.
A3-auto,Expressing Recent Actions,Talking about things done recently,Talking about things done recently,experiment,play,Translate: Expressing recent actions!,Start Activity,c74943e3-9c79-4932-a76f-9ac780044175,main,Check your understanding of recent actions.
A3-auto,Usage of 'Must Have',Learn to use 'must have' in sentences,Learn to use 'must have' in sentences,experiment,speak,Translate: Usage of 'Must Have',Start Activity,a84cf7d8-a83a-443a-9232-e134ba3b43c9,main,Translate sentences using 'must have'.
A3-auto,Usage of 'Must Have',Learn to use 'must have' in sentences,Learn to use 'must have' in sentences,experiment,play,Sentences Using 'Must Have',Start Activity,db0d4266-2f7f-40fc-8391-5facad0e3238,main,Learn to make sentences with 'must have'.
A3-auto,Usage of 'Must Have',Learn to use 'must have' in sentences,Learn to use 'must have' in sentences,experiment,speak,Must Have with Objects,Start Activity,335e3489-a5ea-4225-8868-0210e94121ca,main,Use 'must have' with object words.
A3-auto,Usage of 'Must Have',Learn to use 'must have' in sentences,Learn to use 'must have' in sentences,experiment,play,Sentences Using Must Have,Start Activity,03375dd0-67ac-4695-96c3-8154e601456f,main,Practice sentences using 'must have'.
A3-auto,Usage of 'Must Have',Learn to use 'must have' in sentences,Learn to use 'must have' in sentences,experiment,speak,Translate: Usage of 'Must Have'!,Start Activity,eeca64d9-1a88-4b07-a860-5daa87bdbca8,main,Check your understanding of 'must have'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,play,Translate: Learn to use 'Do' in present tense,Start Activity,7e594be1-b88e-4979-a456-1c035d262175,main,Translate sentences using 'do' in present tense.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,speak,Making Sentences with 'Do',Start Activity,26289179-311b-4add-9053-26239219cba5,main,Learn to make sentences using 'do'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,play,Making Sentences with 'Does',Start Activity,5eed553a-02d2-44b7-a844-85e3b7ef0a2f,main,Learn to make sentences using 'does'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,speak,Negative Sentences with 'Don't',Start Activity,46e48b24-f563-4609-af93-3b1929904da9,main,Learn to make negative sentences with 'don't'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,play,Negative Sentences with 'Doesn't',Start Activity,d11a7f02-b204-4374-a75b-87b4feb094d7,main,Learn to make negative sentences with 'doesn't'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,speak,Asking Questions with 'Do',Start Activity,da2e66fd-f652-4f77-8f1f-b4a6c93aa3c4,main,Learn to ask questions using 'do'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,play,Asking Questions with 'Does',Start Activity,ef408f8d-e9cb-4bee-9c32-cd76de10c9fd,main,Learn to ask questions using 'does'.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,speak,Revise: Using 'Do' in Present,Start Activity,0151f5c7-45bc-4593-b207-0d730b35d2ca,main,Revise all present tense 'do' sentences.
A3-auto,Learn to use 'Do' in present tense,Learning how to use 'Do' in present tense,Learning how to use 'Do' in present tense,experiment,play,Translate: Learn to use 'Do' in present tense!,Start Activity,32f1ff61-b639-4cf4-a21c-af653766f894,main,Check your understanding of 'do' in present tense.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,speak,Translate: Learn to use 'Do' in past tense,Start Activity,09bcdeec-b0b8-43f5-9319-4547cdaca01f,main,Translate sentences using 'did' in past tense.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,play,Making Sentences with 'Did',Start Activity,a809f9ec-55d0-4fb2-b07c-9e22c50c0068,main,Learn to make sentences using 'did'.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,speak,Negative Sentences with 'Didn't',Start Activity,82fdfa5d-4942-4882-89f3-661ecabf55d6,main,Learn to make negative sentences with 'didn't'.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,play,Practice: Sentences Using 'Did' and 'Didn't',Start Activity,d2db2523-a8c8-4765-aa4e-5e5bbe137345,main,Practice 'did' and 'didn't' sentences together.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,speak,Asking Questions with 'Did',Start Activity,4086e9af-6192-474a-a17e-db2598154a31,main,Learn to ask questions using 'did'.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,play,Practice: Asking Past Tense Questions,Start Activity,5b05e9b0-c3f8-429f-a68e-9bed4300fc86,main,Practice asking past tense questions.
