screen_number,screen_type,hindi_video_url_script,hi_video_url,hi_overlay_main_text,hi_overlay_sub_text,hi_overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
1,media,"आज, आप English में अपने आसपास की चीज़ों को describe करना सीखेंगे।",https://sn-main.b-cdn.net/system-uploads/scenario-data/b5489610-2254-4ae8-8666-6a454984f14c-DESCRIBE_1.mp4,Hello!,,,Continue,,,,,,,,,
2,translate,"लेकिन पहले, क्या आप इसे English में बोल सकते हैं? Desk पर एक laptop है।",https://sn-main.b-cdn.net/system-uploads/scenario-data/cda9b236-6f74-4f63-9c4a-d6d4abb4b08c-DESCRIBE_2.mp4,Desk पर एक laptop है।,इसे English में बोलिए,,,There is a laptop on the desk,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/798e008d-1202-47ad-a0bc-d2cdb9e5e904-OU3-correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/412a63fb-804c-4fa8-bd18-abf16f5c4e9b-OU3-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2d5af3cf-ed92-4969-9cd4-e344c6abec9f-OU3-partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
3,media,"यह वाक्य English में 'There is a laptop on the desk' है। आप किसी दिखाई देने वाली चीज़ के आगे 'There is a' का use करते हैं, फिर बताते हैं कि वह कहाँ है, जैसे 'on the desk' या 'in the room'। आसान है! चलिए इसका इस्तेमाल करके practice करते हैं!",https://sn-main.b-cdn.net/system-uploads/scenario-data/8b6f2d85-d1ae-4fb1-a0b1-c3bf8a5010fb-DESCRIBE_3.mp4,"There is a [item] in/on the [place]",यह बोलना कि वहाँ कुछ है,,,,,,,TRUE,,,,
4,mcq,Table पर phone को describe करने के लिए कौन सा sentence सही है?,https://sn-main.b-cdn.net/system-uploads/scenario-data/add17c34-96b9-463a-bd8c-65e1dfe4f29b-DESCRIBE_4.mp4,Table पर phone को describe करने के लिए कौन सा sentence सही है?,,,,,Phone is on table,There is a phone on the table,b,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/7156cfa0-8fa0-4b90-b1e0-3a1d6ba47ba8-OU3-correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5b1bc1b7-0740-42e0-8c19-86300dc57946-OU3-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/39d03abd-4cd2-4e2f-abb1-fea279386a73-OU3-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
5,translate,चलिए आगे बढ़ते हैं। इसे English में बोलिए: Table पर एक cup है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/a1a8c2ad-dfc7-4747-9389-5c84963b68dd-DESCRIBE_5.mp4,Table पर एक cup है।,इसे English में बोलिए,"There is a [item] in/on the [place]",,There is a cup on the table,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2d7b0d50-0f02-4940-a364-d91f6f833b23-OU3-correct-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d384b22a-ea55-4a6a-ac47-274c2525a771-OU3-wrong-1.3-thats-the-wrong-answer.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/00a1ab94-bed4-4862-ab96-452c49b70bd5-OU3-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
6,translate,इसे English में बोलिए: कार में एक bag है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/eebc22e3-d626-41d5-8c47-bfc2f0724a86-DESCRIBE_6.mp4,कार में एक bag है।,इसे English में बोलिए,"There is a [item] in/on the [place]",,There is a bag in the car,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/798e008d-1202-47ad-a0bc-d2cdb9e5e904-OU3-correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/412a63fb-804c-4fa8-bd18-abf16f5c4e9b-OU3-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2d5af3cf-ed92-4969-9cd4-e344c6abec9f-OU3-partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
7,translate,Desk पर एक pen है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/dc711756-e1bc-4f31-9d80-d7bfea395a20-DESCRIBE_7.mp4,Desk पर एक pen है।,इसे English में बोलिए,"There is a [item] in/on the [place]",,There is a pen on the desk,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/7156cfa0-8fa0-4b90-b1e0-3a1d6ba47ba8-OU3-correct-1.2.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/5b1bc1b7-0740-42e0-8c19-86300dc57946-OU3-wrong-1.2-better-luck.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/39d03abd-4cd2-4e2f-abb1-fea279386a73-OU3-partial-1.2-nice-try.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
8,translate,Fridge में एक bottle है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/13fe5e99-fb7f-42d9-8838-b629e7f93791-DESCRIBE_8.mp4,Fridge में एक bottle है।,इसे English में बोलिए,"There is a [item] in/on the [place]",,There is a bottle in the fridge,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/2d7b0d50-0f02-4940-a364-d91f6f833b23-OU3-correct-1.3.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/d384b22a-ea55-4a6a-ac47-274c2525a771-OU3-wrong-1.3-thats-the-wrong-answer.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/00a1ab94-bed4-4862-ab96-452c49b70bd5-OU3-partial-1.3-good-effort.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
9,translate,आख़िरी सवाल! Bag में एक umbrella है।,https://sn-main.b-cdn.net/system-uploads/scenario-data/0b60b478-9c0d-4982-843f-4549e195e36a-DESCRIBE_9.mp4,Bag में एक umbrella है।,इसे English में बोलिए,"There is an [item] in/on the [place]",,There is an umbrella in the bag,,,,TRUE,https://sn-main.b-cdn.net/system-uploads/scenario-data/798e008d-1202-47ad-a0bc-d2cdb9e5e904-OU3-correct-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/412a63fb-804c-4fa8-bd18-abf16f5c4e9b-OU3-wrong-1.1-thats-not-right.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/2d5af3cf-ed92-4969-9cd4-e344c6abec9f-OU3-partial-1.1.mp4,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4
10,media,"बहुत बढ़िया! अब real situations में practice करते हैं। आप जो देखते हैं, उसे describe करेंगे। Describe करने के लिए 'There is a' या 'There is an' का use करें!",https://sn-main.b-cdn.net/system-uploads/scenario-data/5dceeafb-dea6-4c50-a743-b3c9570afb5b-DESCRIBE_10.mp4,,Now real conversation practice! 💬,,Start Practice!,,,,,,,,,
